Country,Song,Singer,Link
Singapore,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Slovakia,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
South Africa,Abo Mvelo,Daliwonga,https://open.spotify.com/track/0Ek5bneviajgSzZGonWfds
South Korea,Still Life,Big Bang,https://open.spotify.com/track/3TSLqZssCoCdDlMhCJ08XW
Spain,Pantysito,Alejo,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
Sweden,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Switzerland,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Taiwan,如果可以,WeiBird,https://open.spotify.com/track/72OVnXDzugvrCU25lMi9au
Thailand,Until Then, Tilly Birds,https://open.spotify.com/track/3crZQarcOagdupRZNzRGWe
Turkey,ARASAN DA,UZI,https://open.spotify.com/track/72jYQj3RgTR1DFLfibD71B
United Arab Emirates,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Ukraine,showdown,shadowraze,https://open.spotify.com/track/48fzAdCxamFYCHNXXLk6zn
England,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Uruguay,Plan A,Paulo Londra,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
USA,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Venezuela,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Vietnam,Butter,BTS,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB






